entry_id,participant_id,date,timestamp,context,prompt,entry_text,mood,location
E018,P4006,2024-03-03,17:00:00,end_of_day,"How did your day go?","Great day. Productive, no major issues, finished on time. Went for a walk after work, which I never did when I commuted. I'm more active, eating better, sleeping better. Remote work has been really good for me. I hope we never go back to the office full-time.",happy,home_office
E019,P4007,2024-03-04,10:00:00,morning_routine,"How did you start your workday?","Overslept. Had a 9am meeting that I almost missed. Jumped out of bed, threw on a shirt, logged in. Thank god for video calls where I can turn off my camera. But I felt unprepared and frazzled. Not a good start. Need to get better about going to bed on time.",rushed,home_office
E020,P4007,2024-03-04,14:00:00,midday,"What's your biggest challenge right now?","Meetings. So many meetings. I have 6 hours of meetings scheduled today, which leaves no time for actual work. I'm going to have to work tonight to catch up. This is ridiculous. Why do we need so many meetings? Most of them could be emails or async updates.",frustrated,home_office
E021,P4007,2024-03-04,20:00:00,end_of_day,"How did your day go?","Just finished working. It's 8pm. I spent all day in meetings, then had to do my actual work after hours. This is not sustainable. I need to push back on meetings or find a way to be more efficient. But I also don't want to seem uncooperative. It's a catch-22.",burned_out,home_office
E022,P4008,2024-03-04,09:30:00,morning_routine,"How did you start your workday?","Started with a team standup. Good to see everyone's faces, even if it's just on screen. Felt connected to the team. Then I dove into my work. I'm working on a project I'm excited about, so I'm motivated. Remote work is working well for me today.",motivated,home_office
E023,P4008,2024-03-04,13:00:00,midday,"What's your biggest challenge right now?","Distractions at home. My partner is also working from home, and they keep coming into my office to chat. I love them, but I need to focus. I've tried putting a sign on the door, but it doesn't work. Maybe I need to be more direct about boundaries.",slightly_frustrated,home_office
E024,P4008,2024-03-04,18:00:00,end_of_day,"How did your day go?","Good day overall. Got a lot done on my project. Had some good collaboration sessions with teammates. Remote work is actually facilitating better collaboration in some ways - we're using shared screens and digital whiteboards more effectively. I'm feeling positive about it.",satisfied,home_office
E025,P4009,2024-03-05,08:00:00,morning_routine,"How did you start your workday?","Woke up early, went for a run. Felt great. Then showered, had breakfast, sat down to work. I'm trying to establish a routine that mimics going to an office. It helps me mentally separate work from home. So far it's working.",energized,home_office
E026,P4009,2024-03-05,11:30:00,midday,"What's your biggest challenge right now?","Actually, things are going well. I've found a rhythm that works for me. I block out time for deep work, I take breaks, I communicate clearly with my team. Remote work has forced me to be more intentional about how I work, which is actually a good thing.",reflective,home_office
E027,P4009,2024-03-05,17:00:00,end_of_day,"How did your day go?","Excellent day. Productive, balanced, finished on time. I'm getting better at remote work. It took time to adjust, but now I feel like I've figured it out. The key is boundaries, routine, and communication. I'm actually more productive than I was in the office.",satisfied,home_office
E028,P4010,2024-03-05,09:00:00,morning_routine,"How did you start your workday?","Checked email first thing, which was a mistake. Found out a project I've been working on got canceled. Felt demotivated before I even started. Spent the morning trying to figure out what to work on instead. Wasted a lot of time feeling sorry for myself.",disappointed,home_office
E029,P4010,2024-03-05,15:00:00,midday,"What's your biggest challenge right now?","Lack of visibility. When I was in the office, my manager could see me working. Now I feel like I need to constantly prove I'm working. I'm sending more updates, being more vocal in meetings, making sure I'm visible. It's exhausting. I shouldn't have to prove my worth constantly.",anxious,home_office
E030,P4010,2024-03-05,18:30:00,end_of_day,"How did your day go?","Recovered somewhat in the afternoon. Found a new project to work on. But I'm still feeling insecure about remote work. I worry that I'm not visible enough, that people will forget about me, that I'll miss opportunities. This is a mental challenge I need to work through.",anxious,home_office
